"init_base_cd","init_outs_ct","end_base_cd","runs_incr","outs_incr","freq"
0,0,1,0,0,2716
0,1,1,0,0,1921
0,2,1,0,0,1548
0,0,2,0,0,219
0,1,2,0,0,180
0,2,2,0,0,122
1,0,3,0,0,758
1,1,3,0,0,854
1,2,3,0,0,600
2,0,3,0,0,184
2,1,3,0,0,259
2,2,3,0,0,278
0,0,4,0,0,17
0,1,4,0,0,12
0,2,4,0,0,2
1,0,5,0,0,109
1,1,5,0,0,116
1,2,5,0,0,77
2,0,5,0,0,120
2,1,5,0,0,89
2,2,5,0,0,113
4,0,5,0,0,23
4,1,5,0,0,124
4,2,5,0,0,132
1,0,6,0,0,56
1,1,6,0,0,41
1,2,6,0,0,37
2,0,6,0,0,8
2,1,6,0,0,12
4,1,6,0,0,2
1,0,7,0,0,1
3,0,7,0,0,199
3,1,7,0,0,286
3,2,7,0,0,307
5,0,7,0,0,51
5,1,7,0,0,112
5,2,7,0,0,108
6,0,7,0,0,33
6,1,7,0,0,108
6,2,7,0,0,71
0,1,0,1,0,1
1,0,1,1,0,1
1,1,1,1,0,1
1,2,1,1,0,3
2,0,1,1,0,13
2,1,1,1,0,14
2,2,1,1,0,58
4,0,1,1,0,12
4,1,1,1,0,109
4,2,1,1,0,66
1,0,2,1,0,5
1,1,2,1,0,4
1,2,2,1,0,16
2,0,2,1,0,24
2,1,2,1,0,20
2,2,2,1,0,41
4,0,2,1,0,4
4,1,2,1,0,19
4,2,2,1,0,15
3,0,3,1,0,16
3,1,3,1,0,18
3,2,3,1,0,21
5,0,3,1,0,49
5,1,3,1,0,129
5,2,3,1,0,39
6,0,3,1,0,6
6,1,3,1,0,18
1,0,4,1,0,1
1,1,4,1,0,4
1,2,4,1,0,3
2,2,4,1,0,4
4,1,4,1,0,2
3,0,5,1,0,18
3,1,5,1,0,25
3,2,5,1,0,21
5,0,5,1,0,9
5,1,5,1,0,27
5,2,5,1,0,21
6,0,5,1,0,10
6,1,5,1,0,73
6,2,5,1,0,27
3,0,6,1,0,20
3,1,6,1,0,17
3,2,6,1,0,21
5,0,6,1,0,11
5,1,6,1,0,20
5,2,6,1,0,9
6,0,6,1,0,2
6,1,6,1,0,10
7,0,7,1,0,62
7,1,7,1,0,145
7,2,7,1,0,104
1,2,0,2,0,1
3,2,1,2,0,2
6,0,1,2,0,1
6,1,1,2,0,9
6,2,1,2,0,17
3,0,2,2,0,4
3,1,2,2,0,1
3,2,2,2,0,3
5,0,2,2,0,1
5,1,2,2,0,1
5,2,2,2,0,4
6,0,2,2,0,3
6,1,2,2,0,14
6,2,2,2,0,8
7,0,3,2,0,4
7,1,3,2,0,13
7,2,3,2,0,7
3,0,4,2,0,1
3,1,4,2,0,1
3,2,4,2,0,5
5,2,4,2,0,1
6,1,4,2,0,2
6,2,4,2,0,1
7,0,5,2,0,7
7,1,5,2,0,15
7,2,5,2,0,8
7,0,6,2,0,6
7,1,6,2,0,7
7,2,6,2,0,7
3,0,0,3,0,1
5,2,0,3,0,1
7,2,2,3,0,5
7,2,4,3,0,2
0,0,0,0,1,87055
0,1,0,0,1,62012
0,2,0,0,1,48635
1,0,1,0,1,11333
1,1,1,0,1,13627
1,2,1,0,1,22035
2,0,1,0,1,168
2,1,1,0,1,195
2,2,1,0,1,33
4,0,1,0,1,9
4,1,1,0,1,172
4,2,1,0,1,1
1,0,2,0,1,3962
1,1,2,0,1,3198
1,2,2,0,1,2
2,0,2,0,1,2722
2,1,2,0,1,5035
2,2,2,0,1,11526
4,0,2,0,1,6
4,1,2,0,1,39
3,0,3,0,1,1700
3,1,3,0,1,3278
3,2,3,0,1,10140
5,0,3,0,1,90
5,1,3,0,1,152
5,2,3,0,1,4
6,0,3,0,1,18
6,1,3,0,1,49
6,2,3,0,1,5
1,0,4,0,1,31
1,1,4,0,1,45
2,0,4,0,1,3361
2,1,4,0,1,3991
4,0,4,0,1,471
4,1,4,0,1,1267
4,2,4,0,1,4905
1,1,5,0,1,2
3,0,5,0,1,1049
3,1,5,0,1,1763
3,2,5,0,1,4
5,0,5,0,1,346
5,1,5,0,1,696
5,2,5,0,1,4836
6,0,5,0,1,19
6,1,5,0,1,131
6,2,5,0,1,4
1,1,6,0,1,1
3,0,6,0,1,1180
3,1,6,0,1,1169
5,0,6,0,1,137
5,1,6,0,1,130
6,0,6,0,1,426
6,1,6,0,1,741
6,2,6,0,1,3068
7,0,7,0,1,406
7,1,7,0,1,815
7,2,7,0,1,3554
1,0,0,1,1,5
1,1,0,1,1,2
2,0,0,1,1,8
2,1,0,1,1,12
2,2,0,1,1,1
4,0,0,1,1,410
4,1,0,1,1,1484
3,0,1,1,1,17
3,1,1,1,1,35
3,2,1,1,1,1
5,0,1,1,1,597
5,1,1,1,1,1269
5,2,1,1,1,1
6,0,1,1,1,7
6,1,1,1,1,22
6,2,1,1,1,1
3,0,2,1,1,11
3,1,2,1,1,26
5,0,2,1,1,163
5,1,2,1,1,478
6,0,2,1,1,224
6,1,2,1,1,516
7,0,3,1,1,176
7,1,3,1,1,477
3,1,4,1,1,4
5,0,4,1,1,10
5,1,4,1,1,9
5,2,4,1,1,1
6,0,4,1,1,390
6,1,4,1,1,769
5,1,5,1,1,1
7,0,5,1,1,261
7,1,5,1,1,620
7,0,6,1,1,111
7,1,6,1,1,294
3,1,0,2,1,2
6,1,0,2,1,6
7,0,1,2,1,5
7,1,1,2,1,16
7,2,1,2,1,2
7,0,2,2,1,3
7,1,2,2,1,5
7,0,4,2,1,1
7,1,4,2,1,4
1,0,0,0,2,4731
1,1,0,0,2,5771
2,0,0,0,2,74
2,1,0,0,2,149
4,0,0,0,2,11
4,1,0,0,2,58
3,0,1,0,2,104
3,1,1,0,2,317
5,0,1,0,2,17
5,1,1,0,2,58
6,1,1,0,2,1
7,1,1,0,2,1
3,0,2,0,2,111
3,1,2,0,2,1885
5,0,2,0,2,10
5,1,2,0,2,5
6,0,2,0,2,9
6,1,2,0,2,37
7,0,3,0,2,21
7,1,3,0,2,121
3,0,4,0,2,926
3,1,4,0,2,5
5,0,4,0,2,30
5,1,4,0,2,925
6,0,4,0,2,5
6,1,4,0,2,17
7,0,5,0,2,12
7,1,5,0,2,68
7,0,6,0,2,80
7,1,6,0,2,601
3,0,0,1,2,1
3,1,0,1,2,1
5,0,0,1,2,316
5,1,0,1,2,25
6,0,0,1,2,3
6,1,0,1,2,14
7,0,1,1,2,6
7,1,1,1,2,18
7,0,2,1,2,14
7,1,2,1,2,4
7,0,4,1,2,193
7,1,4,1,2,5
3,0,0,0,3,12
5,0,0,0,3,2
6,0,0,0,3,1
7,0,2,0,3,2
7,0,4,0,3,1
