"init_base_cd","init_outs_ct","end_base_cd","runs_incr","outs_incr","freq"
0,0,1,0,0,12307
0,1,1,0,0,9284
0,2,1,0,0,8251
1,0,1,0,0,4
1,1,1,0,0,3
1,2,1,0,0,2
0,0,2,0,0,1
1,0,3,0,0,2292
1,1,3,0,0,2948
1,2,3,0,0,3269
2,0,3,0,0,1075
2,1,3,0,0,2423
2,2,3,0,0,4051
3,0,3,0,0,2
3,1,3,0,0,2
1,0,5,0,0,3
1,1,5,0,0,9
1,2,5,0,0,1
2,0,5,0,0,15
2,1,5,0,0,62
2,2,5,0,0,83
4,0,5,0,0,184
4,1,5,0,0,944
4,2,5,0,0,1663
5,1,5,0,0,1
2,1,6,0,0,1
3,0,7,0,0,601
3,1,7,0,0,1250
3,2,7,0,0,1726
5,0,7,0,0,225
5,1,7,0,0,517
5,2,7,0,0,832
6,0,7,0,0,301
6,1,7,0,0,1138
6,2,7,0,0,1273
2,1,1,1,0,2
4,0,1,1,0,1
4,1,1,1,0,8
4,2,1,1,0,11
1,1,2,1,0,1
3,1,3,1,0,1
5,0,3,1,0,3
5,1,3,1,0,3
5,2,3,1,0,10
6,2,3,1,0,1
3,0,5,1,0,1
6,1,5,1,0,9
6,2,5,1,0,7
3,2,6,1,0,1
3,0,7,1,0,1
7,0,7,1,0,127
7,1,7,1,0,358
7,2,7,1,0,519
7,2,5,2,0,1
1,0,1,0,1,1
2,0,1,0,1,2
2,1,1,0,1,1
2,2,1,0,1,4
5,2,3,0,1,1
6,0,3,0,1,1
6,1,3,0,1,1
6,1,5,0,1,1
6,1,1,0,2,1
