"init_base_cd","init_outs_ct","end_base_cd","runs_incr","outs_incr","freq"
1,2,1,0,0,1
0,0,2,0,0,8497
0,1,2,0,0,5769
0,2,2,0,0,4513
3,0,3,0,0,1
0,0,4,0,0,73
0,1,4,0,0,41
0,2,4,0,0,20
1,0,6,0,0,1200
1,1,6,0,0,1307
1,2,6,0,0,932
2,0,6,0,0,35
2,1,6,0,0,27
2,2,6,0,0,1
0,0,0,1,0,1
0,1,0,1,0,2
0,2,0,1,0,1
1,0,2,1,0,533
1,1,2,1,0,709
1,2,2,1,0,967
2,0,2,1,0,499
2,1,2,1,0,834
2,2,2,1,0,1062
4,0,2,1,0,83
4,1,2,1,0,320
4,2,2,1,0,485
6,1,2,1,0,1
1,0,4,1,0,33
1,1,4,1,0,67
1,2,4,1,0,89
2,0,4,1,0,8
2,1,4,1,0,6
2,2,4,1,0,4
4,0,4,1,0,2
4,1,4,1,0,2
3,0,6,1,0,285
3,1,6,1,0,451
3,2,6,1,0,350
5,0,6,1,0,122
5,1,6,1,0,220
5,2,6,1,0,196
6,0,6,1,0,4
6,1,6,1,0,10
1,1,0,2,0,6
1,2,0,2,0,4
2,0,0,2,0,1
1,0,2,2,0,2
2,2,2,2,0,1
3,0,2,2,0,111
3,1,2,2,0,260
3,2,2,2,0,461
5,0,2,2,0,43
5,1,2,2,0,112
5,2,2,2,0,201
6,0,2,2,0,96
6,1,2,2,0,206
6,2,2,2,0,236
3,0,4,2,0,6
3,1,4,2,0,19
3,2,4,2,0,21
5,0,4,2,0,6
5,1,4,2,0,10
5,2,4,2,0,16
6,0,4,2,0,2
6,2,4,2,0,2
7,0,6,2,0,82
7,1,6,2,0,199
7,2,6,2,0,151
3,1,0,3,0,2
3,2,0,3,0,2
7,0,2,3,0,37
7,1,2,3,0,78
7,2,2,3,0,149
7,0,4,3,0,1
7,1,4,3,0,7
7,2,4,3,0,13
7,2,0,4,0,1
0,0,0,0,1,47
0,1,0,0,1,34
0,2,0,0,1,21
1,0,2,0,1,13
1,1,2,0,1,37
1,2,2,0,1,105
2,0,2,0,1,2
2,1,2,0,1,2
2,2,2,0,1,1
1,0,4,0,1,11
1,1,4,0,1,22
1,2,4,0,1,2
2,1,4,0,1,1
1,0,0,1,1,18
1,1,0,1,1,32
1,2,0,1,1,35
2,0,0,1,1,2
2,1,0,1,1,5
2,2,0,1,1,9
4,1,0,1,1,5
4,2,0,1,1,2
3,0,2,1,1,2
3,1,2,1,1,12
3,2,2,1,1,23
5,0,2,1,1,1
5,1,2,1,1,3
5,2,2,1,1,11
6,1,2,1,1,1
3,0,4,1,1,2
3,1,4,1,1,6
5,1,4,1,1,7
5,2,4,1,1,1
6,1,4,1,1,1
3,0,0,2,1,7
3,1,0,2,1,11
3,2,0,2,1,14
5,0,0,2,1,3
5,1,0,2,1,2
5,2,0,2,1,7
6,1,0,2,1,1
6,2,0,2,1,1
7,0,2,2,1,2
7,1,2,2,1,6
7,2,2,2,1,9
7,1,4,2,1,4
7,1,0,3,1,4
7,2,0,3,1,1
