"initbasecd","initouts","endbasecd","runsinc","outsinc","eventcd","freq"
0,0,1,0,0,2,87
0,0,1,0,0,3,159
0,0,1,0,0,14,15303
0,0,1,0,0,16,1802
0,0,1,0,0,17,29
0,0,1,0,0,18,1439
0,0,1,0,0,20,34460
0,1,1,0,0,2,87
0,1,1,0,0,3,127
0,1,1,0,0,14,11614
0,1,1,0,0,16,1276
0,1,1,0,0,17,10
0,1,1,0,0,18,1018
0,1,1,0,0,20,24230
0,2,1,0,0,2,48
0,2,1,0,0,3,110
0,2,1,0,0,14,10358
0,2,1,0,0,15,7
0,2,1,0,0,16,1059
0,2,1,0,0,17,16
0,2,1,0,0,18,816
0,2,1,0,0,20,18884
1,0,1,0,0,14,5
1,0,1,0,0,20,2
1,1,1,0,0,14,4
1,1,1,0,0,20,1
1,2,1,0,0,14,2
1,2,1,0,0,21,1
0,0,2,0,0,2,6
0,0,2,0,0,3,7
0,0,2,0,0,14,1
0,0,2,0,0,18,281
0,0,2,0,0,20,358
0,0,2,0,0,21,10676
0,1,2,0,0,2,3
0,1,2,0,0,18,226
0,1,2,0,0,20,238
0,1,2,0,0,21,7180
0,2,2,0,0,2,3
0,2,2,0,0,18,160
0,2,2,0,0,20,174
0,2,2,0,0,21,5656
1,0,3,0,0,2,11
1,0,3,0,0,14,2820
1,0,3,0,0,16,428
1,0,3,0,0,17,13
1,0,3,0,0,18,395
1,0,3,0,0,19,104
1,0,3,0,0,20,6141
1,1,3,0,0,2,6
1,1,3,0,0,14,3654
1,1,3,0,0,16,510
1,1,3,0,0,17,18
1,1,3,0,0,18,424
1,1,3,0,0,19,88
1,1,3,0,0,20,7152
1,2,3,0,0,2,6
1,2,3,0,0,3,11
1,2,3,0,0,14,4051
1,2,3,0,0,15,6
1,2,3,0,0,16,493
1,2,3,0,0,17,15
1,2,3,0,0,18,239
1,2,3,0,0,19,8
1,2,3,0,0,20,5919
2,0,3,0,0,3,2
2,0,3,0,0,14,1294
2,0,3,0,0,15,69
2,0,3,0,0,16,175
2,0,3,0,0,17,1
2,0,3,0,0,18,36
