"init_base_cd","init_outs_ct","end_base_cd","runs_incr","outs_incr","freq"
1,0,2,0,0,2705
1,1,2,0,0,3536
1,2,2,0,0,5033
1,0,4,0,0,166
1,1,4,0,0,213
1,2,4,0,0,224
2,0,4,0,0,401
2,1,4,0,0,956
2,2,4,0,0,1111
3,0,5,0,0,56
3,1,5,0,0,129
3,2,5,0,0,209
3,0,6,0,0,297
3,1,6,0,0,616
3,2,6,0,0,695
5,0,6,0,0,176
5,1,6,0,0,394
5,2,6,0,0,984
1,1,0,1,0,2
1,2,0,1,0,5
2,0,0,1,0,5
2,1,0,1,0,38
2,2,0,1,0,17
4,0,0,1,0,25
4,1,0,1,0,105
4,2,0,1,0,209
5,0,1,1,0,3
5,1,1,1,0,4
5,2,1,1,0,7
3,0,2,1,0,4
3,1,2,1,0,9
3,2,2,1,0,6
5,0,2,1,0,68
5,1,2,1,0,139
5,2,2,1,0,194
6,1,2,1,0,2
6,2,2,1,0,5
7,1,3,1,0,2
7,2,3,1,0,3
3,0,4,1,0,5
3,1,4,1,0,16
3,2,4,1,0,3
5,0,4,1,0,14
5,1,4,1,0,23
5,2,4,1,0,20
6,0,4,1,0,40
6,1,4,1,0,64
6,2,4,1,0,95
7,0,6,1,0,28
7,1,6,1,0,77
7,2,6,1,0,128
5,1,0,2,0,2
6,2,0,2,0,3
7,0,2,2,0,1
7,2,2,2,0,4
7,2,4,2,0,1
7,2,0,3,0,1
1,0,0,0,1,997
1,1,0,0,1,1249
1,2,0,0,1,1370
2,0,0,0,1,63
2,1,0,0,1,210
2,2,0,0,1,91
4,0,0,0,1,2
4,1,0,0,1,22
4,2,0,0,1,11
3,0,1,0,1,40
3,1,1,0,1,63
3,2,1,0,1,65
5,1,1,0,1,2
5,2,1,0,1,44
3,0,2,0,1,26
3,1,2,0,1,54
3,2,2,0,1,27
5,0,2,0,1,3
5,1,2,0,1,15
5,2,2,0,1,2
6,0,2,0,1,2
6,1,2,0,1,4
6,2,2,0,1,11
7,0,3,0,1,3
7,2,3,0,1,6
3,0,4,0,1,7
3,1,4,0,1,15
3,2,4,0,1,5
5,0,4,0,1,18
5,1,4,0,1,61
5,2,4,0,1,58
6,1,4,0,1,10
7,1,5,0,1,1
7,2,5,0,1,1
7,0,6,0,1,4
7,1,6,0,1,5
7,2,6,0,1,1
3,1,0,1,1,2
5,0,0,1,1,1
5,1,0,1,1,9
5,2,0,1,1,5
6,1,0,1,1,1
6,2,0,1,1,1
7,2,2,1,1,1
3,1,0,0,2,1
5,1,0,0,2,1
