"initbasecd","initouts","endbasecd","runsinc","outsinc","eventcd","freq"
0,0,0,0,0,12,32
0,1,0,0,0,12,21
0,2,0,0,0,12,14
0,0,0,0,0,13,55
0,1,0,0,0,13,39
0,2,0,0,0,13,26
1,0,1,0,0,8,1
1,1,1,0,0,8,1
1,0,1,0,0,12,22
1,1,1,0,0,12,27
1,2,1,0,0,12,23
1,0,1,0,0,13,7
1,1,1,0,0,13,18
1,2,1,0,0,13,8
1,0,2,0,0,4,2053
1,1,2,0,0,4,2694
1,2,2,0,0,4,3542
1,0,2,0,0,5,49
1,1,2,0,0,5,137
1,2,2,0,0,5,1038
1,0,2,0,0,6,3
1,1,2,0,0,6,4
1,2,2,0,0,6,4
1,0,2,0,0,8,130
1,1,2,0,0,8,157
1,2,2,0,0,8,151
1,0,2,0,0,9,916
1,1,2,0,0,9,1176
1,2,2,0,0,9,1354
1,0,2,0,0,10,188
1,1,2,0,0,10,243
1,2,2,0,0,10,213
1,0,2,0,0,11,109
1,1,2,0,0,11,155
1,2,2,0,0,11,156
1,0,2,0,0,12,3
1,1,2,0,0,12,3
1,2,2,0,0,12,1
2,0,2,0,0,12,4
2,1,2,0,0,12,9
2,2,2,0,0,12,6
2,0,2,0,0,13,3
2,1,2,0,0,13,4
2,2,2,0,0,13,7
3,0,3,0,0,6,1
3,2,3,0,0,8,1
3,0,3,0,0,12,4
3,1,3,0,0,12,7
3,2,3,0,0,12,8
3,0,3,0,0,13,2
3,1,3,0,0,13,8
3,2,3,0,0,13,5
1,0,4,0,0,4,149
1,1,4,0,0,4,196
1,2,4,0,0,4,226
1,2,4,0,0,5,4
1,2,4,0,0,6,1
1,0,4,0,0,8,56
1,1,4,0,0,8,67
1,2,4,0,0,8,50
1,0,4,0,0,9,11
1,1,4,0,0,9,24
1,2,4,0,0,9,15
1,0,4,0,0,10,2
1,1,4,0,0,10,1
1,2,4,0,0,10,2
2,0,4,0,0,4,112
2,1,4,0,0,4,442
2,2,4,0,0,4,429
2,0,4,0,0,5,2
2,1,4,0,0,5,5
2,2,4,0,0,5,29
2,2,4,0,0,6,1
2,0,4,0,0,8,10
2,1,4,0,0,8,46
2,2,4,0,0,8,19
2,0,4,0,0,9,298
2,1,4,0,0,9,574
2,2,4,0,0,9,735
2,0,4,0,0,10,66
2,1,4,0,0,10,114
2,2,4,0,0,10,157
2,0,4,0,0,11,15
2,1,4,0,0,11,40
2,2,4,0,0,11,40
2,1,4,0,0,12,3
2,2,4,0,0,12,1
4,1,4,0,0,12,3
4,2,4,0,0,12,4
4,2,4,0,0,13,4
3,0,5,0,0,4,32
3,1,5,0,0,4,114
3,2,5,0,0,4,136
3,2,5,0,0,5,6
3,0,5,0,0,8,2
3,1,5,0,0,8,4
3,2,5,0,0,8,9
3,0,5,0,0,9,24
3,1,5,0,0,9,40
3,2,5,0,0,9,93
3,0,5,0,0,10,8
3,1,5,0,0,10,6
3,2,5,0,0,10,11
3,1,5,0,0,12,1
3,2,5,0,0,12,2
5,1,5,0,0,12,8
5,2,5,0,0,12,6
5,0,5,0,0,13,1
5,1,5,0,0,13,4
5,2,5,0,0,13,5
1,0,6,0,0,8,1
3,0,6,0,0,4,60
3,1,6,0,0,4,187
3,2,6,0,0,4,151
3,1,6,0,0,5,3
3,2,6,0,0,5,4
3,0,6,0,0,6,1
3,0,6,0,0,8,20
3,1,6,0,0,8,28
3,2,6,0,0,8,19
3,0,6,0,0,9,207
3,1,6,0,0,9,420
3,2,6,0,0,9,542
3,0,6,0,0,10,63
3,1,6,0,0,10,102
3,2,6,0,0,10,129
3,0,6,0,0,11,13
3,1,6,0,0,11,35
3,2,6,0,0,11,33
5,0,6,0,0,4,146
5,1,6,0,0,4,345
5,2,6,0,0,4,844
5,0,6,0,0,5,21
5,1,6,0,0,5,27
