"init_base_cd","init_outs_ct","end_base_cd","runs_incr","outs_incr","freq"
0,0,1,0,0,27490
0,1,1,0,0,19360
0,2,1,0,0,15121
1,0,1,0,0,2
1,1,1,0,0,1
0,0,2,0,0,287
0,1,2,0,0,206
0,2,2,0,0,144
1,0,3,0,0,4968
1,1,3,0,0,5759
1,2,3,0,0,4822
2,0,3,0,0,84
2,1,3,0,0,116
2,2,3,0,0,6
0,0,4,0,0,28
0,1,4,0,0,18
0,2,4,0,0,15
1,0,5,0,0,1529
1,1,5,0,0,1903
1,2,5,0,0,2188
2,0,5,0,0,1118
2,1,5,0,0,1271
2,2,5,0,0,643
4,0,5,0,0,12
4,1,5,0,0,24
4,2,5,0,0,6
1,0,6,0,0,106
1,1,6,0,0,108
1,2,6,0,0,81
2,0,6,0,0,19
2,1,6,0,0,25
2,2,6,0,0,11
3,0,7,0,0,849
3,1,7,0,0,1140
3,2,7,0,0,580
5,0,7,0,0,7
5,1,7,0,0,15
5,2,7,0,0,4
6,0,7,0,0,8
6,1,7,0,0,16
6,2,7,0,0,2
0,2,0,1,0,1
1,0,1,1,0,7
1,1,1,1,0,12
1,2,1,1,0,37
2,0,1,1,0,625
2,1,1,1,0,1255
2,2,1,1,0,2117
4,0,1,1,0,313
4,1,1,1,0,1169
4,2,1,1,0,1457
1,0,2,1,0,19
1,1,2,1,0,29
1,2,2,1,0,35
2,0,2,1,0,81
2,1,2,1,0,206
2,2,2,1,0,392
4,1,2,1,0,16
4,2,2,1,0,24
3,0,3,1,0,355
3,1,3,1,0,878
3,2,3,1,0,1093
5,0,3,1,0,474
5,1,3,1,0,959
5,2,3,1,0,997
6,0,3,1,0,16
6,1,3,1,0,23
6,2,3,1,0,2
1,0,4,1,0,15
1,1,4,1,0,15
1,2,4,1,0,13
2,0,4,1,0,4
2,1,4,1,0,11
2,2,4,1,0,26
4,0,4,1,0,1
4,2,4,1,0,1
1,2,5,1,0,2
3,0,5,1,0,228
3,1,5,1,0,501
3,2,5,1,0,910
5,0,5,1,0,114
5,1,5,1,0,269
5,2,5,1,0,439
6,0,5,1,0,222
6,1,5,1,0,418
6,2,5,1,0,180
3,0,6,1,0,42
3,1,6,1,0,106
3,2,6,1,0,178
5,0,6,1,0,10
5,1,6,1,0,22
5,2,6,1,0,13
6,0,6,1,0,4
6,1,6,1,0,7
6,2,6,1,0,3
7,0,7,1,0,256
7,1,7,1,0,541
7,2,7,1,0,217
1,0,0,2,0,1
1,1,0,2,0,3
1,2,0,2,0,1
2,2,0,2,0,1
3,0,1,2,0,1
3,1,1,2,0,1
3,2,1,2,0,9
5,2,1,2,0,8
