"init_base_cd","init_outs_ct","end_base_cd","runs_incr","outs_incr","freq"
0,0,1,0,0,127
0,1,1,0,0,104
0,2,1,0,0,85
0,0,2,0,0,5
1,2,3,0,0,8
2,0,3,0,0,1
2,1,3,0,0,2
0,0,4,0,0,1
0,1,4,0,0,1
0,2,4,0,0,1
1,2,5,0,0,2
2,0,5,0,0,5
2,1,5,0,0,15
2,2,5,0,0,15
2,1,6,0,0,1
3,2,7,0,0,14
6,0,7,0,0,1
2,2,1,1,0,2
4,0,1,1,0,2
4,1,1,1,0,2
4,2,1,1,0,3
2,2,2,1,0,1
3,2,3,1,0,2
5,2,3,1,0,5
3,2,5,1,0,2
5,2,5,1,0,1
6,1,5,1,0,4
6,2,5,1,0,7
7,2,7,1,0,1
3,2,1,2,0,1
6,1,1,2,0,1
6,2,1,2,0,2
6,1,4,2,0,1
0,0,0,0,1,36376
0,1,0,0,1,28536
0,2,0,0,1,23432
1,0,1,0,1,6243
1,1,1,0,1,8036
1,2,1,0,1,9379
2,0,1,0,1,2
1,0,2,0,1,295
1,1,2,0,1,412
2,0,2,0,1,2170
2,1,2,0,1,4250
2,2,2,0,1,5922
3,0,3,0,1,1703
3,1,3,0,1,3198
3,2,3,0,1,4864
5,2,3,0,1,1
1,0,4,0,1,21
1,1,4,0,1,38
2,0,4,0,1,19
2,1,4,0,1,49
4,0,4,0,1,380
4,1,4,0,1,1316
4,2,4,0,1,2363
3,0,5,0,1,3
3,1,5,0,1,9
5,0,5,0,1,556
5,1,5,0,1,1197
5,2,5,0,1,2118
6,1,5,0,1,2
3,0,6,0,1,16
3,1,6,0,1,49
5,0,6,0,1,22
5,1,6,0,1,68
6,0,6,0,1,448
6,1,6,0,1,1046
6,2,6,0,1,1594
7,0,7,0,1,492
7,1,7,0,1,1180
7,2,7,0,1,1757
2,1,0,1,1,4
4,1,0,1,1,2
5,1,1,1,1,1
3,1,2,1,1,1
5,0,2,1,1,5
5,1,2,1,1,9
6,1,2,1,1,2
3,1,4,1,1,1
5,1,4,1,1,1
6,0,4,1,1,1
6,1,4,1,1,2
7,1,5,1,1,1
7,0,6,1,1,1
7,1,6,1,1,4
1,0,0,0,2,189
1,1,0,0,2,295
2,0,0,0,2,1
2,1,0,0,2,6
4,1,0,0,2,2
3,0,1,0,2,2
3,1,1,0,2,27
5,1,1,0,2,5
3,0,2,0,2,5
3,1,2,0,2,3
7,1,3,0,2,1
3,1,4,0,2,1
5,0,4,0,2,1
5,1,4,0,2,17
5,0,0,1,2,1
5,1,0,1,2,1
