"init_base_cd","init_outs_ct","end_base_cd","runs_incr","outs_incr","freq"
0,0,4,0,0,894
0,1,4,0,0,607
0,2,4,0,0,447
0,0,0,1,0,13
0,1,0,1,0,4
0,2,0,1,0,2
1,0,4,1,0,149
1,1,4,1,0,221
1,2,4,1,0,193
2,0,4,1,0,54
2,1,4,1,0,90
2,2,4,1,0,135
4,0,4,1,0,11
4,1,4,1,0,46
4,2,4,1,0,61
1,0,0,2,0,2
1,1,0,2,0,2
1,2,0,2,0,3
2,0,0,2,0,1
2,1,0,2,0,1
2,2,0,2,0,1
3,0,4,2,0,34
3,1,4,2,0,60
3,2,4,2,0,100
5,0,4,2,0,15
5,1,4,2,0,37
5,2,4,2,0,47
6,0,4,2,0,11
6,1,4,2,0,32
6,2,4,2,0,33
3,2,0,3,0,2
6,2,0,3,0,1
7,0,4,3,0,8
7,1,4,3,0,40
7,2,4,3,0,54
7,0,0,4,0,1
7,2,0,4,0,1
0,0,0,0,1,5
0,1,0,0,1,1
0,2,0,0,1,3
1,1,0,1,1,1
1,2,0,1,1,4
2,1,0,1,1,1
2,2,0,1,1,2
3,2,0,2,1,2
5,2,0,2,1,1
