"","x","freq"
"1","A. J.",14
"2","Aaron",37
"3","Ab",1
"4","Abbie",1
"5","Abe",6
"6","Abel",2
"7","Abie",1
"8","Abner",2
"9","Abraham",3
"10","Ace",4
"11","Ad",5
"12","Adalberto",2
"13","Adam",38
"14","Addie",1
"15","Addison",2
"16","Adeiny",1
"17","Admiral",1
"18","Adolfo",1
"19","Adonis",2
"20","Adrian",12
"21","Adron",1
"22","Agustin",1
"23","Akeel",1
"24","Akinori",2
"25","Al",191
"26","Alamazoo",1
"27","Alan",20
"28","Alay",1
"29","Albert",6
"30","Alberto",9
"31","Albie",2
"32","Alcides",1
"33","Alec",3
"34","Aleck",1
"35","Aledmys",1
"36","Alejandro",5
"37","Alen",1
"38","Alex",82
"39","Alexander",2
"40","Alexei",1
"41","Alexi",3
"42","Alexis",2
"43","Alf",1
"44","Alfonso",2
"45","Alfred",1
"46","Alfredo",6
"47","Algie",1
"48","Ali",1
"49","Allan",8
"50","Allen",11
"51","Allie",5
"52","Allyn",1
"53","Alonzo",2
"54","Alta",1
"55","Alton",1
"56","Alvaro",1
"57","Alvin",3
"58","Amado",1
"59","Amalio",1
"60","Amauri",1
"61","Amaury",2
"62","Ambiorix",1
"63","Ambrose",2
"64","Amby",2
"65","Amos",5
"66","Anastacio",1
"67","Anderson",3
"68","Andre",7
"69","Andrelton",1
"70","Andres",7
"71","Andrew",25
"72","Andruw",1
"73","Andujar",1
"74","Andy",83
"75","Aneury",1
"76","Angel",20
"77","Angelo",3
"78","Anibal",1
"79","Anse",1
"80","Anthony",21
"81","Antoan",1
"82","Anton",1
"83","Antone",1
"84","Antonio",4
"85","Aquilino",1
"86","Aramis",1
"87","Arch",2
"88","Archi",1
"89","Archie",10
"90","Argenis",2
"91","Ariel",3
"92","Arismendy",1
"93","Arky",1
"94","Arlas",1
"95","Arlie",3
"96","Arlo",1
"97","Armando",8
"98","Arndt",1
"99","Arnie",4
"100","Arnold",5
"101","Arodys",1
"102","Aroldis",1
"103","Arquimedes",1
"104","Arquimedez",1
"105","Art",83
"106","Arthur",3
"107","Artie",3
"108","Arturo",2
"109","Asa",2
"110","Asdrubal",1
"111","Asher",1
"112","Ashur",1
"113","Astyanax",1
"114","Atahualpa",1
"115","Atlee",1
"116","Atley",1
"117","Aubrey",3
"118","Audry",1
"119","Augie",7
"120","Aurelio",3
"121","Austin",10
"122","Avisail",1
"123","Axel",1
"124","B. J.",4
"125","Babe",17
"126","Baby",1
"127","Baby Doll",1
"128","Bake",1
"129","Baldy",1
"130","Balor",1
"131","Balvino",1
"132","Bama",1
"133","Ban",1
"134","Barbaro",2
"135","Barney",16
"136","Barret",1
"137","Barry",18
"138","Bart",6
"139","Bartolo",1
"140","Bartolome",1
"141","Beals",1
"142","Beany",1
"143","Beau",2
"144","Beauty",1
"145","Beiker",1
"146","Belden",1
"147","Beltran",1
"148","Belve",1
"149","Ben",64
"150","Bengie",1
"151","Benito",2
"152","Benj",1
"153","Benji",1
"154","Benn",1
"155","Bennie",3
"156","Benny",12
"157","Bernard",1
"158","Bernardo",1
"159","Bernie",18
"160","Bert",43
"161","Beryl",1
"162","Bevo",1
"163","Bibb",1
"164","Bid",1
"165","Biddy",1
"166","Bien",1
