"","x","freq"
"1","Aardsma",1
"2","Aaron",2
"3","Aase",1
"4","Abad",2
"5","Abadie",1
"6","Abbaticchio",1
"7","Abbey",2
"8","Abbott",9
"9","Aber",1
"10","Abercrombie",2
"11","Abernathie",1
"12","Abernathy",4
"13","Aberson",1
"14","Ables",1
"15","Abner",1
"16","Abrams",2
"17","Abrego",1
"18","Abreu",6
"19","Abstein",1
"20","Accardo",1
"21","Acevedo",2
"22","Aceves",1
"23","Achter",1
"24","Acker",2
"25","Ackley",2
"26","Acosta",5
"27","Acre",1
"28","Acta",1
"29","Adair",3
"30","Adames",1
"31","Adams",33
"32","Adamson",2
"33","Adcock",2
"34","Addis",1
"35","Adduci",2
"36","Addy",1
"37","Adenhart",1
"38","Aderholt",1
"39","Adkins",6
"40","Adleman",1
"41","Adlesh",1
"42","Adrianza",1
"43","Afenir",1
"44","Affeldt",1
"45","Agbayani",1
"46","Agee",1
"47","Agganis",1
"48","Agler",1
"49","Agnew",1
"50","Agosto",1
"51","Aguayo",1
"52","Aguila",1
"53","Aguilar",1
"54","Aguilera",1
"55","Aguirre",1
"56","Ahearn",1
"57","Ahearne",1
"58","Ahmed",1
"59","Aikens",1
"60","Ainge",1
"61","Ainsmith",1
"62","Ainsworth",1
"63","Aitchison",1
"64","Aiton",1
"65","Ake",1
"66","Aker",1
"67","Akerfelds",1
"68","Akers",2
"69","Alba",1
"70","Albaladejo",1
"71","Albanese",1
"72","Alberro",1
"73","Albers",2
"74","Alberto",1
"75","Alberts",3
"76","Albosta",1
"77","Albrecht",1
"78","Albright",1
"79","Alburquerque",1
"80","Albury",1
"81","Alcala",1
"82","Alcantara",3
"83","Alcaraz",1
"84","Alcock",1
"85","Alderson",1
"86","Aldred",1
"87","Aldrete",1
"88","Aldrich",1
"89","Aldridge",2
"90","Aleno",1
"91","Alexander",12
"92","Alfaro",2
"93","Alfonseca",1
"94","Alfonzo",2
"95","Alicea",1
"96","Allanson",1
"97","Allard",1
"98","Allen",30
"99","Allenson",1
"100","Allensworth",1
"101","Alley",1
"102","Allie",1
"103","Allietta",1
"104","Allison",8
"105","Allred",1
"106","Almada",1
"107","Almanza",1
"108","Almanzar",1
"109","Almeida",1
"110","Almon",1
"111","Almonte",6
"112","Almora",1
"113","Aloma",1
"114","Alomar",3
"115","Alonso",1
"116","Alou",4
"117","Alpermann",1
"118","Alston",4
"119","Altamirano",1
"120","Altavilla",1
"121","Alten",1
"122","Altenburg",1
"123","Altherr",1
"124","Altizer",1
"125","Altman",1
"126","Altobelli",1
"127","Altrock",1
"128","Altuve",1
"129","Alusik",1
"130","Alvarado",1
"131","Alvarez",18
"132","Alvis",1
"133","Alvord",1
"134","Alyea",1
"135","Amalfitano",1
"136","Amaral",1
"137","Amarista",1
"138","Amaro",2
"139","Ambler",1
"140","Ambres",1
"141","Ambriz",1
"142","Amelung",1
"143","Ames",2
"144","Amezaga",1
"145","Amole",1
"146","Amor",1
"147","Amoros",1
"148","Ancker",1
"149","Andersen",1
"150","Anderson",49
"151","Andino",1
"152","Andrade",1
"153","Andre",1
"154","Andres",1
"155","Andrew",1
"156","Andrews",14
"157","Andriese",1
"158","Andrus",4
"159","Andujar",2
"160","Angelini",1
"161","Angle",1
"162","Angley",1
"163","Ankenman",1
"164","Ankiel",1
"165","Anna",1
"166","Annis",1
"167","Anson",1
"168","Anthony",1
"169","Antolick",1
"170","Antolin",1
"171","Antonelli",3
"172","Antonello",1
"173","Aoki",1
"174","Aparicio",1
"175","Apodaca",1
"176","Aponte",1
"177","Appier",1
"178","Applegate",1
"179","Appleton",2
"180","Appling",1
"181","Aquino",3
"182","Aragon",2
"183","Araujo",1
"184","Archdeacon",1
"185","Archer",4
"186","Archie",1
"187","Arcia",3
"188","Ardell",1
"189","Ardizoia",1
"190","Ardner",1
"191","Ardoin",1
"192","Arellanes",1
"193","Arenado",1
"194","Arencibia",1
"195","Arft",1
"196","Arias",5
"197","Arlett",1
"198","Arlich",1
"199","Arlin",1
"200","Armas",3
"201","Armbrister",1
"202","Armbrust",1
"203","Armbruster",2
"204","Armour",1
"205","Armstrong",6
"206","Arndt",2
"207","Arnold",5
"208","Arnovich",1
"209","Arnsberg",1
"210","Arntzen",1
"211","Aro",1
"212","Arocha",1
"213","Arredondo",1
"214","Arrieta",1
"215","Arrigo",1
"216","Arrojo",1
"217","Arroyo",4
"218","Arruebarrena",1
"219","Arundel",2
"220","Asadoor",1
"221","Asbell",1
"222","Asbjornson",1
"223","Ascanio",1
"224","Asche",1
"225","Asencio",2
"226","Ash",1
"227","Ashburn",1
"228","Ashby",2
"229","Asher",1
"230","Ashford",1
"231","Ashley",2
"232","Asmussen",1
"233","Aspromonte",2
"234","Asselstine",1
"235","Assenmacher",1
"236","Astacio",2
"237","Astroth",1
"238","Asuaje",1
"239","Atchison",1
"240","Atchley",1
"241","Atherton",2
"242","Atilano",1
"243","Atkins",4
"244","Atkinson",5
"245","Attreau",1
"246","Atwell",1
"247","Atwood",1
"248","Atz",1
"249","Aubrey",2
"250","Aucoin",1
"251","Aude",1
"252","Auerbach",1
"253","Augenstein",1
"254","August",1
"255","Augustine",2
"256","Auker",1
"257","Aulds",1
"258","Ault",1
"259","Aumont",1
"260","Aurilia",1
"261","Ausanio",1
"262","Ausmus",1
"263","Aust",1
"264","Austin",6
"265","Autry",3
"266","Aven",1
"267","Averill",2
"268","Avery",2
"269","Avila",2
"270","Avilan",1
"271","Aviles",2
"272","Avrea",1
"273","Axelrod",1
"274","Axford",1
"275","Ayala",3
"276","Aybar",3
"277","Aydelott",1
"278","Ayers",2
"279","Aylward",1
"280","Ayrault",2
"281","Azcue",1
"282","Azocar",1
"283","Babb",1
"284","Babcock",1
"285","Babe",1
"286","Babich",1
"287","Babington",1
"288","Babitt",1
"289","Backe",1
"290","Backman",2
"291","Bacon",1
"292","Bacsik",2
"293","Baczewski",1
"294","Badenhop",1
"295","Bader",2
"296","Badgro",1
"297","Baecht",1
"298","Baek",1
"299","Baerga",1
"300","Baez",6
"301","Bagby",2
"302","Bagley",2
"303","Bagwell",2
"304","Bahnsen",1
"305","Bahr",1
"306","Bahret",1
"307","Baichley",1
"308","Bailes",1
"309","Bailey",18
"310","Bailor",1
"311","Bain",1
"312","Baines",1
"313","Bair",1
"314","Baird",3
"315","Baisley",1
"316","Bajenaru",1
"317","Bakenhaster",1
"318","Baker",32
"319","Bakley",1
"320","Bako",1
"321","Balas",1
"322","Balaz",1
"323","Balboni",1
"324","Balcena",1
"325","Baldelli",1
"326","Baldschun",1
"327","Baldwin",13
"328","Bale",1
"329","Balenti",1
"330","Balentien",1
"331","Bales",1
"332","Balester",1
"333","Balfour",1
"334","Ball",4
"335","Ballard",1
"336","Ballenger",1
"337","Baller",1
"338","Ballinger",1
"339","Ballou",1
"340","Balsamo",1
"341","Bamberger",2
"342","Bancker",1
"343","Bancroft",2
"344","Bando",2
"345","Bandy",1
"346","Bane",1
"347","Baney",1
"348","Banister",1
"349","Bankhead",2
"350","Banks",5
"351","Bankston",2
"352","Banning",1
"353","Bannister",3
"354","Bannon",2
"355","Banta",1
"356","Bantz",1
"357","Banuelos",1
"358","Baptist",1
"359","Barajas",1
"360","Barbare",1
"361","Barbary",1
"362","Barbato",1
"363","Barbeau",1
"364","Barbee",1
"365","Barber",5
"366","Barberich",1
"367","Barberie",1
"368","Barbieri",1
"369","Barcelo",1
"370","Barclay",2
"371","Bard",2
"372","Barden",1
"373","Bare",1
"374","Barfield",3
"375","Barfoot",1
"376","Bargar",1
"377","Barger",1
"378","Bark",1
"379","Barker",7
"380","Barkett",1
"381","Barkley",4
"382","Barlick",1
"383","Barlow",2
"384","Barmes",2
"385","Barna",1
"386","Barnabe",1
"387","Barnes",24
"388","Barnett",1
"389","Barnette",1
"390","Barney",3
"391","Barnhart",5
"392","Barnicle",1
"393","Barnie",1
"394","Barnowski",1
"395","Barnwell",1
"396","Barojas",1
"397","Baron",1
"398","Barone",2
"399","Barr",5
"400","Barraclough",1
"401","Barragan",1
"402","Barranca",1
"403","Barrett",16
"404","Barrios",4
"405","Barron",3
"406","Barrow",1
"407","Barrows",2
"408","Barry",8
"409","Bartee",1
"410","Bartell",1
"411","Barthelson",1
"412","Barthmaier",1
"413","Barthold",1
"414","Bartholomew",1
"415","Bartirome",1
"416","Bartlett",1
"417","Bartley",2
"418","Bartling",1
"419","Barton",6
"420","Bartosch",1
"421","Bartosh",1
"422","Bartson",1
"423","Barzilla",1
"424","Basak",1
"425","Basgall",1
"426","Bashang",1
"427","Bashore",1
"428","Basinski",1
"429","Baskette",1
"430","Bass",8
"431","Bassett",1
"432","Bassitt",1
"433","Bassler",1
"434","Bastardo",1
"435","Bastian",1
"436","Batch",1
"437","Batchelder",1
"438","Batchelor",1
"439","Bateman",1
"440","Bates",11
"441","Bathe",1
"442","Batista",3
"443","Batiste",2
"444","Batsch",1
"445","Battam",1
"446","Batten",1
"447","Battey",1
"448","Battin",1
"449","Battle",3
"450","Batton",1
"451","Batts",1
"452","Bauer",5
"453","Bauers",1
"454","Baughman",1
"455","Baumann",3
"456","Baumer",1
"457","Baumgardner",1
"458","Baumgarten",1
"459","Baumgartner",3
"460","Baumholtz",1
"461","Bausewine",1
"462","Bauta",1
"463","Bautista",4
"464","Baxes",2
"465","Baxter",2
"466","Bay",2
"467","Bayer",1
"468","Bayless",1
"469","Bayliss",1
"470","Baylor",1
"471","Bayne",1
"472","Bazardo",1
"473","Beach",1
"474","Beachy",1
"475","Beadle",1
"476","Beall",3
"477","Beals",1
"478","Beam",3
"479","Beamon",3
"480","Bean",4
"481","Beane",1
"482","Beard",5
"483","Bearden",1
"484","Beare",1
"485","Bearnarth",1
"486","Bearse",1
"487","Beasley",2
"488","Beatin",1
"489","Beato",1
"490","Beattie",1
"491","Beatty",2
"492","Beauchamp",1
"493","Beaumont",1
"494","Beavan",1
"495","Beavens",1
"496","Beazley",1
"497","Becannon",1
"498","Bechler",1
"499","Bechtel",1
"500","Beck",11
"501","Beckendorf",1
"502","Becker",7
"503","Beckert",1
"504","Beckett",2
"505","Beckham",2
"506","Beckley",1
"507","Beckman",1
"508","Beckmann",1
"509","Beckwith",1
"510","Becquer",1
"511","Bedard",1
"512","Bedell",1
"513","Bedford",1
"514","Bedgood",1
"515","Bedient",1
"516","Bednar",1
"517","Bedrosian",2
"518","Beebe",1
"519","Beech",1
"520","Beecher",2
"521","Beeler",2
"522","Beene",2
"523","Beers",1
"524","Beggs",1
"525","Begley",1
"526","Behan",1
"527","Behel",1
"528","Behenna",1
"529","Behney",1
"530","Behrman",1
"531","Beimel",1
"532","Beirne",1
"533","Bejma",1
"534","Belanger",1
"535","Belardi",1
"536","Belcher",2
"537","Belden",1
"538","Belfiore",1
"539","Belinda",1
"540","Belinsky",1
"541","Belisario",1
"542","Belisle",1
"543","Belitz",1
"544","Beliveau",1
"545","Belk",1
"546","Bell",30
"547","Bella",1
"548","Bellan",1
"549","Bellatti",1
"550","Belle",1
"551","Bellhorn",1
"552","Belliard",2
"553","Bellinger",1
"554","Bellman",1
"555","Belloir",1
"556","Bellorin",1
"557","Belnome",1
"558","Below",1
"559","Belt",1
"560","Beltran",3
"561","Beltre",4
"562","Bemis",1
"563","Benard",1
"564","Benavides",1
"565","Bench",1
"566","Bender",1
"567","Benedict",2
"568","Benes",3
"569","Benge",1
"570","Bengough",1
"571","Benintendi",1
"572","Beniquez",1
"573","Benitez",2
"574","Benjamin",2
"575","Benn",1
"576","Benners",1
"577","Bennett",14
"578","Benoit",1
"579","Benson",4
"580","Bentley",2
"581","Benton",6
"582","Bentz",1
"583","Benz",1
"584","Benzinger",1
"585","Berardino",1
"586","Berberet",1
"587","Berblinger",1
"588","Bere",1
"589","Berenguer",1
"590","Berenyi",1
"591","Beresford",1
"592","Berg",3
"593","Bergamo",1
"594","Bergen",2
"595","Berger",8
"596","Bergeron",1
"597","Bergesen",1
"598","Bergh",1
"599","Berghammer",1
"600","Bergman",5
"601","Bergmann",1
"602","Bergolla",1
"603","Berkelbach",1
"604","Berken",1
"605","Berkenstock",1
"606","Berkman",1
"607","Berly",1
"608","Berman",1
"609","Bernadina",1
"610","Bernal",1
"611","Bernard",3
"612","Bernazard",1
"613","Bernero",1
"614","Bernhard",1
"615","Bernhardt",2
"616","Bernier",2
"617","Bero",1
"618","Berra",2
"619","Berran",1
"620","Berres",1
"621","Berrios",1
"622","Berroa",2
"623","Berry",11
"624","Berryhill",1
"625","Bertaina",1
"626","Berte",1
"627","Bertell",1
"628","Berthrong",1
"629","Bertoia",1
"630","Bertotti",1
"631","Bertrand",1
"632","Berumen",1
"633","Besana",1
"634","Bescher",1
"635","Besse",1
"636","Bessent",1
"637","Best",1
"638","Bestick",1
"639","Beswick",1
"640","Betances",1
"641","Betancourt",2
"642","Betcher",1
"643","Betemit",1
"644","Bethancourt",1
"645","Bethea",1
"646","Bethke",1
"647","Bettencourt",1
"648","Bettendorf",1
"649","Bettis",1
"650","Betts",3
"651","Betzel",1
